央视频道,#genre#
深圳卫视,http://58.37.91.48:4000/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://58.37.82.140:56789/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://116.234.13.241:9898/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://tv.100inns.com:4022/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://222.71.11.180:4022/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://115.171.216.54:4000/rtp/225.1.8.145:9244$720x576
黑龙江卫视,http://116.232.156.147:8888/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://101.83.74.79:8686/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://58.37.82.140:56789/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://115.171.216.54:4000/rtp/225.1.8.42:8016$1920x1080
黑龙江卫视,http://1.202.9.192:8888/rtp/225.1.8.42:8016$1920x1080
黑龙江卫视,http://58.37.91.48:4000/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://116.234.13.241:9898/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://222.71.11.180:4022/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://tv.100inns.com:4022/rtp/239.45.3.232:5140$1920x1080
黑龙江卫视,http://115.171.216.54:4000/rtp/225.1.8.141:8196$720x576
山东卫视,http://116.232.156.147:8888/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://101.83.74.79:8686/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://1.202.9.192:8888/rtp/225.1.8.50:8052$1920x1080
山东卫视,http://58.37.82.140:56789/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://116.234.13.241:9898/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://58.37.91.48:4000/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://115.171.216.54:4000/rtp/225.1.8.50:8052$1920x1080
山东卫视,http://222.71.11.180:4022/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://tv.100inns.com:4022/rtp/239.45.3.238:5140$1920x1080
山东卫视,http://115.171.216.54:4000/rtp/225.1.8.138:8148$720x576
湖北卫视,http://116.232.156.147:8888/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://101.83.74.79:8686/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://115.171.216.54:4000/rtp/225.1.8.47:8044$1920x1080
湖北卫视,http://1.202.9.192:8888/rtp/225.1.8.47:8044$1920x1080
湖北卫视,http://58.37.91.48:4000/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://58.37.82.140:56789/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://116.234.13.241:9898/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://222.71.11.180:4022/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://tv.100inns.com:4022/rtp/239.45.3.239:5140$1920x1080
湖北卫视,http://115.171.216.54:4000/rtp/225.1.8.146:8136$720x576
安徽卫视,http://58.37.82.140:56789/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://116.232.156.147:8888/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://116.234.13.241:9898/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://115.171.216.54:4000/rtp/225.1.8.52:8064$1920x1080
安徽卫视,http://58.37.91.48:4000/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://1.202.9.192:8888/rtp/225.1.8.52:8064$1920x1080
